"territory","id_indicator","period","territory.ccube.0","territory.ccube.1","territory.ccube.2","territory.ccube.attr.0","value"
"40000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Санкт-Петербург","3","4930"
"40000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Санкт-Петербург","3","5007"
"40000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Санкт-Петербург","3","4831"
"79000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Республика Адыгея","3","472"
"79000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Республика Адыгея","3","465"
"79000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Республика Адыгея","3","485"
"79000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Республика Адыгея","3","476"
"79000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Республика Адыгея","3","454"
"85000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Республика Калмыкия","3","225"
"85000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Республика Калмыкия","3","240"
"85000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Республика Калмыкия","3","218"
"85000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Республика Калмыкия","3","225"
"85000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Республика Калмыкия","3","193"
"35000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Республика Крым","3","2235"
"35000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Республика Крым","3","2462"
"35000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Республика Крым","3","2604"
"35000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Республика Крым","3","2269"
"35000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Республика Крым","3","2085"
"3000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Краснодарский край","3","5560"
"3000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Краснодарский край","3","5755"
"3000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Краснодарский край","3","6193"
"3000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Краснодарский край","3","5838"
"3000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Краснодарский край","3","5460"
"12000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Астраханская область","3","919"
"12000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Астраханская область","3","1069"
"12000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Астраханская область","3","988"
"12000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Астраханская область","3","885"
"12000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Астраханская область","3","960"
"18000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Волгоградская область","3","2744"
"18000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Волгоградская область","3","2886"
"18000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Волгоградская область","3","2947"
"18000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Волгоградская область","3","2656"
"18000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Волгоградская область","3","2637"
"60000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Ростовская область","3","4508"
"60000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Ростовская область","3","4784"
"60000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Ростовская область","3","5101"
"60000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Ростовская область","3","4508"
"60000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Ростовская область","3","4332"
"67000000","819","31 Aug 2015 00:00:00","Российская Федерация","Южный федеральный округ","Севастополь","3","483"
